SmartCOM:RASP:EQ:10:0.02

Received;ExchTime;Price;AskTotal;BidTotal;OI;HiLimit;LoLimit;Deposit;Rate;Message
22.04.2020 10:00:21.625;22.04.2020 09:59:55.000;101;10768;28776;;;;;;
22.04.2020 10:00:21.875;22.04.2020 09:59:55.000;101;10740;28776;;;;;;
22.04.2020 10:00:21.906;22.04.2020 09:59:55.000;101;10768;28776;;;;;;
22.04.2020 10:00:22.328;22.04.2020 09:59:55.000;101;10740;28776;;;;;;
22.04.2020 10:00:22.437;22.04.2020 09:59:55.000;101;10768;28776;;;;;;
22.04.2020 10:00:22.562;22.04.2020 09:59:55.000;101;10768;28784;;;;;;
22.04.2020 10:00:22.641;22.04.2020 09:59:55.000;101;10768;28792;;;;;;
22.04.2020 10:00:22.984;22.04.2020 09:59:55.000;101;10740;28792;;;;;;
22.04.2020 10:00:23.328;22.04.2020 09:59:55.000;101;10768;28792;;;;;;
22.04.2020 10:00:23.359;22.04.2020 09:59:55.000;101;10756;28792;;;;;;
22.04.2020 10:00:23.563;22.04.2020 09:59:55.000;101;10760;28792;;;;;;
22.04.2020 10:00:23.610;22.04.2020 09:59:55.000;101;10740;28792;;;;;;
22.04.2020 10:00:23.688;22.04.2020 09:59:55.000;101;10748;28792;;;;;;
22.04.2020 10:00:23.719;22.04.2020 09:59:55.000;101;10764;28792;;;;;;
22.04.2020 10:00:23.875;22.04.2020 09:59:55.000;101;10768;28792;;;;;;
22.04.2020 10:00:23.969;22.04.2020 09:59:55.000;101;10736;28792;;;;;;
22.04.2020 10:00:24.125;22.04.2020 09:59:55.000;101;10768;28792;;;;;;
22.04.2020 10:00:24.407;22.04.2020 09:59:55.000;101;10740;28792;;;;;;
22.04.2020 10:00:24.407;22.04.2020 09:59:55.000;101;10736;28792;;;;;;
22.04.2020 10:00:24.641;22.04.2020 09:59:55.000;101;10768;28792;;;;;;
22.04.2020 10:00:25.110;22.04.2020 09:59:55.000;101;10768;28794;;;;;;
22.04.2020 10:00:25.282;22.04.2020 09:59:55.000;101;10768;28796;;;;;;
22.04.2020 10:00:26.016;22.04.2020 09:59:55.000;101;10769;28796;;;;;;
22.04.2020 10:00:26.407;22.04.2020 09:59:55.000;101;10771;28796;;;;;;
22.04.2020 10:00:27.267;22.04.2020 09:59:55.000;101;10771;28774;;;;;;
22.04.2020 10:00:27.298;22.04.2020 09:59:55.000;101;10771;28784;;;;;;
22.04.2020 10:00:29.002;22.04.2020 10:00:28.000;101.32;10910;28653;;;;;;
22.04.2020 10:00:29.064;22.04.2020 10:00:28.000;101.32;11225;28967;;;;;;
22.04.2020 10:00:29.236;22.04.2020 10:00:28.000;101.32;11226;28994;;;;;;
22.04.2020 10:00:29.283;22.04.2020 10:00:28.000;101.32;11226;29009;;;;;;
22.04.2020 10:00:29.314;22.04.2020 10:00:28.000;101.32;11141;28970;;;;;;
22.04.2020 10:00:29.408;22.04.2020 10:00:28.000;101.32;11034;29016;;;;;;
22.04.2020 10:00:29.455;22.04.2020 10:00:28.000;101.32;11173;28976;;;;;;
22.04.2020 10:00:29.517;22.04.2020 10:00:28.000;101.32;11237;29337;;;;;;
22.04.2020 10:00:29.549;22.04.2020 10:00:28.000;101.32;11437;29337;;;;;;
22.04.2020 10:00:29.658;22.04.2020 10:00:28.000;101.32;11437;29377;;;;;;
22.04.2020 10:00:30.017;22.04.2020 10:00:28.000;101.32;11438;29426;;;;;;
22.04.2020 10:00:30.064;22.04.2020 10:00:28.000;101.32;11432;29703;;;;;;
22.04.2020 10:00:30.096;22.04.2020 10:00:28.000;101.32;11432;29733;;;;;;
22.04.2020 10:00:30.158;22.04.2020 10:00:28.000;101.32;11444;29733;;;;;;
22.04.2020 10:00:30.346;22.04.2020 10:00:28.000;101.32;11444;29703;;;;;;
22.04.2020 10:00:30.408;22.04.2020 10:00:28.000;101.32;11656;29796;;;;;;
22.04.2020 10:00:30.439;22.04.2020 10:00:28.000;101.32;11664;29796;;;;;;
22.04.2020 10:00:30.471;22.04.2020 10:00:28.000;101.32;11708;29796;;;;;;
22.04.2020 10:00:31.283;22.04.2020 10:00:28.000;101.32;11750;29798;;;;;;
22.04.2020 10:00:31.346;22.04.2020 10:00:28.000;101.32;11760;29926;;;;;;
22.04.2020 10:00:31.424;22.04.2020 10:00:28.000;101.32;11496;29926;;;;;;
22.04.2020 10:00:31.455;22.04.2020 10:00:28.000;101.32;11760;29926;;;;;;
22.04.2020 10:00:32.002;22.04.2020 10:00:28.000;101.32;11761;29965;;;;;;
22.04.2020 10:00:32.127;22.04.2020 10:00:28.000;101.32;11761;30031;;;;;;
22.04.2020 10:00:32.518;22.04.2020 10:00:28.000;101.32;11761;30054;;;;;;
22.04.2020 10:00:33.362;22.04.2020 10:00:28.000;101.32;11761;30030;;;;;;
22.04.2020 10:00:33.425;22.04.2020 10:00:28.000;101.32;11761;30049;;;;;;
22.04.2020 10:00:34.347;22.04.2020 10:00:28.000;101.32;11647;30049;;;;;;
22.04.2020 10:00:34.394;22.04.2020 10:00:28.000;101.32;11647;29935;;;;;;
22.04.2020 10:00:36.128;22.04.2020 10:00:28.000;101.32;11647;29937;;;;;;
22.04.2020 10:00:36.222;22.04.2020 10:00:28.000;101.32;11651;29937;;;;;;
22.04.2020 10:00:36.488;22.04.2020 10:00:28.000;101.32;11651;30089;;;;;;
22.04.2020 10:00:38.395;22.04.2020 10:00:28.000;101.32;11643;30089;;;;;;
22.04.2020 10:00:38.426;22.04.2020 10:00:28.000;101.32;11651;30070;;;;;;
22.04.2020 10:00:38.504;22.04.2020 10:00:28.000;101.32;11651;30081;;;;;;
22.04.2020 10:00:39.020;22.04.2020 10:00:28.000;101.32;11651;30091;;;;;;
22.04.2020 10:00:43.490;22.04.2020 10:00:28.000;101.32;11643;30091;;;;;;
22.04.2020 10:00:43.521;22.04.2020 10:00:28.000;101.32;11651;30416;;;;;;
22.04.2020 10:00:46.287;22.04.2020 10:00:28.000;101.32;11578;30407;;;;;;
22.04.2020 10:00:47.241;22.04.2020 10:00:28.000;101.32;11378;30446;;;;;;
22.04.2020 10:00:47.319;22.04.2020 10:00:28.000;101.32;11550;30424;;;;;;
22.04.2020 10:00:47.428;22.04.2020 10:00:28.000;101.32;11578;30435;;;;;;
22.04.2020 10:00:48.553;22.04.2020 10:00:28.000;101.32;11558;30435;;;;;;
22.04.2020 10:00:48.585;22.04.2020 10:00:28.000;101.32;11578;30435;;;;;;
22.04.2020 10:00:49.194;22.04.2020 10:00:28.000;101.32;11878;30435;;;;;;
22.04.2020 10:00:49.225;22.04.2020 10:00:28.000;101.32;11883;30435;;;;;;
22.04.2020 10:00:53.414;22.04.2020 10:00:28.000;101.32;11883;30396;;;;;;
22.04.2020 10:00:54.617;22.04.2020 10:00:28.000;101.32;11883;30385;;;;;;
22.04.2020 10:00:54.711;22.04.2020 10:00:28.000;101.32;11883;30396;;;;;;
22.04.2020 10:00:55.305;22.04.2020 10:00:28.000;101.32;11883;30395;;;;;;
22.04.2020 10:00:55.352;22.04.2020 10:00:28.000;101.32;11821;30395;;;;;;
22.04.2020 10:00:55.430;22.04.2020 10:00:28.000;101.32;11821;30391;;;;;;
22.04.2020 10:00:55.461;22.04.2020 10:00:28.000;101.32;11821;30392;;;;;;
22.04.2020 10:00:57.712;22.04.2020 10:00:28.000;101.32;11815;30381;;;;;;
22.04.2020 10:00:57.728;22.04.2020 10:00:28.000;101.32;11875;30391;;;;;;
22.04.2020 10:00:59.025;22.04.2020 10:00:28.000;101.32;12125;30124;;;;;;
22.04.2020 10:00:59.244;22.04.2020 10:00:28.000;101.32;12125;30324;;;;;;
22.04.2020 10:00:59.900;22.04.2020 10:00:28.000;101.32;12097;30323;;;;;;
22.04.2020 10:00:59.978;22.04.2020 10:00:28.000;101.32;12125;30323;;;;;;
22.04.2020 10:01:00.510;22.04.2020 10:00:28.000;101.32;12125;30523;;;;;;
22.04.2020 10:01:00.635;22.04.2020 10:00:28.000;101.32;12125;30508;;;;;;
22.04.2020 10:01:00.697;22.04.2020 10:00:28.000;101.32;12125;30521;;;;;;
22.04.2020 10:01:01.088;22.04.2020 10:00:28.000;101.32;12325;30521;;;;;;
22.04.2020 10:01:01.807;22.04.2020 10:00:28.000;101.32;12325;30508;;;;;;
22.04.2020 10:01:01.854;22.04.2020 10:00:28.000;101.32;12325;30519;;;;;;
22.04.2020 10:01:03.010;22.04.2020 10:00:28.000;101.32;12325;30518;;;;;;
22.04.2020 10:01:05.714;22.04.2020 10:00:28.000;101.32;12324;30518;;;;;;
22.04.2020 10:01:07.621;22.04.2020 10:00:28.000;101.32;12324;30618;;;;;;
22.04.2020 10:01:09.246;22.04.2020 10:01:09.000;101.32;11874;30674;;;;;;
22.04.2020 10:01:09.324;22.04.2020 10:01:09.000;101.32;11610;30963;;;;;;
22.04.2020 10:01:09.356;22.04.2020 10:01:09.000;101.32;11874;30992;;;;;;
22.04.2020 10:01:10.903;22.04.2020 10:01:09.000;101.32;11874;30981;;;;;;
22.04.2020 10:01:10.965;22.04.2020 10:01:09.000;101.32;11874;30991;;;;;;
22.04.2020 10:01:11.434;22.04.2020 10:01:09.000;101.32;11822;31391;;;;;;
22.04.2020 10:01:12.528;22.04.2020 10:01:09.000;101.32;11822;31421;;;;;;
22.04.2020 10:01:13.028;22.04.2020 10:01:09.000;101.32;11822;31411;;;;;;
22.04.2020 10:01:13.044;22.04.2020 10:01:09.000;101.32;11822;31421;;;;;;
22.04.2020 10:01:13.951;22.04.2020 10:01:09.000;101.32;11814;31421;;;;;;
22.04.2020 10:01:14.076;22.04.2020 10:01:09.000;101.32;11822;31660;;;;;;
22.04.2020 10:01:14.310;22.04.2020 10:01:14.000;101.5;11808;31661;;;;;;
22.04.2020 10:01:14.529;22.04.2020 10:01:14.000;101.5;11867;31661;;;;;;
22.04.2020 10:01:14.560;22.04.2020 10:01:14.000;101.5;11888;31661;;;;;;
22.04.2020 10:01:14.685;22.04.2020 10:01:14.000;101.5;11947;31661;;;;;;
22.04.2020 10:01:14.966;22.04.2020 10:01:14.000;101.5;12276;31909;;;;;;
22.04.2020 10:01:15.467;22.04.2020 10:01:14.000;101.5;12324;31909;;;;;;
22.04.2020 10:01:16.623;22.04.2020 10:01:14.000;101.5;12424;32146;;;;;;
22.04.2020 10:01:17.014;22.04.2020 10:01:14.000;101.5;12416;32135;;;;;;
22.04.2020 10:01:17.061;22.04.2020 10:01:14.000;101.5;12416;32146;;;;;;
22.04.2020 10:01:17.108;22.04.2020 10:01:14.000;101.5;12424;32146;;;;;;
22.04.2020 10:01:18.061;22.04.2020 10:01:14.000;101.5;12416;32146;;;;;;
22.04.2020 10:01:18.139;22.04.2020 10:01:14.000;101.5;12440;32146;;;;;;
22.04.2020 10:01:18.280;22.04.2020 10:01:14.000;101.5;12460;32146;;;;;;
22.04.2020 10:01:18.827;22.04.2020 10:01:14.000;101.5;12643;32364;;;;;;
22.04.2020 10:01:19.530;22.04.2020 10:01:14.000;101.5;12976;32364;;;;;;
22.04.2020 10:01:20.140;22.04.2020 10:01:14.000;101.5;12932;32364;;;;;;
22.04.2020 10:01:20.218;22.04.2020 10:01:14.000;101.5;12940;32603;;;;;;
22.04.2020 10:01:20.734;22.04.2020 10:01:14.000;101.5;12840;32604;;;;;;
22.04.2020 10:01:21.109;22.04.2020 10:01:14.000;101.5;12840;32603;;;;;;
22.04.2020 10:01:22.156;22.04.2020 10:01:14.000;101.5;12832;32603;;;;;;
22.04.2020 10:01:22.156;22.04.2020 10:01:14.000;101.5;12876;32603;;;;;;
22.04.2020 10:01:23.125;22.04.2020 10:01:14.000;101.5;12832;32603;;;;;;
22.04.2020 10:01:23.156;22.04.2020 10:01:14.000;101.5;12840;32603;;;;;;
22.04.2020 10:01:24.109;22.04.2020 10:01:14.000;101.5;12840;32593;;;;;;
22.04.2020 10:01:24.172;22.04.2020 10:01:14.000;101.5;12840;32604;;;;;;
22.04.2020 10:01:24.813;22.04.2020 10:01:14.000;101.5;12940;32604;;;;;;
22.04.2020 10:01:25.391;22.04.2020 10:01:14.000;101.5;13082;32604;;;;;;
22.04.2020 10:01:26.844;22.04.2020 10:01:14.000;101.5;13324;32604;;;;;;
22.04.2020 10:01:27.470;22.04.2020 10:01:14.000;101.5;13504;32604;;;;;;
22.04.2020 10:01:27.532;22.04.2020 10:01:14.000;101.5;13524;32604;;;;;;
22.04.2020 10:01:27.595;22.04.2020 10:01:14.000;101.5;13585;32604;;;;;;
22.04.2020 10:01:27.876;22.04.2020 10:01:14.000;101.5;13566;32604;;;;;;
22.04.2020 10:01:27.907;22.04.2020 10:01:14.000;101.5;13586;32604;;;;;;
22.04.2020 10:01:28.377;22.04.2020 10:01:14.000;101.5;13586;32843;;;;;;
22.04.2020 10:01:28.955;22.04.2020 10:01:14.000;101.5;13486;32843;;;;;;
22.04.2020 10:01:30.253;22.04.2020 10:01:14.000;101.5;13478;32832;;;;;;
22.04.2020 10:01:30.284;22.04.2020 10:01:14.000;101.5;13486;32842;;;;;;
22.04.2020 10:01:30.706;22.04.2020 10:01:14.000;101.5;13487;32842;;;;;;
22.04.2020 10:01:30.784;22.04.2020 10:01:14.000;101.5;13479;32832;;;;;;
